Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2020",39.17,40.17,38.79,40.16,2827963692,2585178521
"Mar 25, 2020",40.48,40.7,38.55,39.15,3133347522,2519916317
"Mar 24, 2020",38.75,40.75,38.27,40.49,3331925793,2605834454
"Mar 23, 2020",35.58,38.85,35.42,38.77,3598154774,2494558925
"Mar 22, 2020",38.37,39.48,35.5,35.63,3148219029,2292391578
"Mar 21, 2020",38.08,39.34,36.95,38.34,3438721430,2466743818
"Mar 20, 2020",39.11,43.33,35.59,38.13,4537692970,2452922646
"Mar 19, 2020",33.72,40.23,33.71,39.07,4157185543,2513235593
"Mar 18, 2020",33.56,34.14,32.78,33.68,3170415992,2166347103
"Mar 17, 2020",32.9,35.42,32.79,33.56,3289527849,2158391141
"Mar 16, 2020",36.45,36.45,30.61,32.88,4079630236,2113940825
"Mar 15, 2020",34.41,38.23,34.2,36.44,3434485463,2342660616
"Mar 14, 2020",37.54,37.6,34.04,34.4,3270465986,2211281928
"Mar 13, 2020",31,39.25,25.57,37.44,7552238198,2406597116
"Mar 12, 2020",48.45,48.56,30.63,30.93,5417383296,1988180694
"Mar 11, 2020",50.26,50.61,46.24,48.46,3807551814,3114857126
"Mar 10, 2020",50.48,51.25,49.4,50.26,3945792927,3229716140
"Mar 09, 2020",51.64,52.31,47.28,50.17,5097423294,3223665284
"Mar 08, 2020",60.58,60.61,51.73,51.73,4523736331,3323571636
"Mar 07, 2020",63.02,63.76,60.5,60.55,4258036532,3889681824
"Mar 06, 2020",62.05,63.77,61.46,63.03,4766934524,4048469921
"Mar 05, 2020",60.4,63.14,60.4,62.05,4712202709,3985045689
"Mar 04, 2020",61.14,61.57,59.36,60.38,4429853608,3877791382
"Mar 03, 2020",61.02,62.35,60.01,61.14,5412760345,3926290829
"Mar 02, 2020",57.98,61.94,57.55,61,5309970238,3916306949
"Mar 01, 2020",58.53,60.12,56.65,57.96,4317287191,3720790355
"Feb 29, 2020",59.75,61.38,58.39,58.54,4168117352,3758049404
"Feb 28, 2020",61.44,63.17,57.84,59.76,5266399749,3835945103
"Feb 27, 2020",61.03,64.62,57.8,61.51,5649302854,3947440769
"Feb 26, 2020",71.18,71.86,58.58,61.01,6518313483,3915328585
"Feb 25, 2020",75.5,75.81,70.07,71.18,5755711246,4567178980
"Feb 24, 2020",79.56,79.56,72.38,75.54,6355612214,4846065100
"Feb 23, 2020",75.07,79.8,74.98,79.54,5702486428,5102126285
"Feb 22, 2020",73.49,76.49,72.57,75.13,5547090434,4819103854
"Feb 21, 2020",69.57,74.94,68.91,73.45,5579449656,4710680779
"Feb 20, 2020",70.98,72.17,67.46,69.62,5500324693,4464832282
"Feb 19, 2020",77.08,78.2,70.54,71.14,5298677185,4561234455
"Feb 18, 2020",73.19,78.01,70.89,77.04,5600214717,4938917809
"Feb 17, 2020",74.97,75.38,69.44,73.25,5593944695,4695804838
"Feb 16, 2020",76.73,80.41,69.58,75.15,6186098306,4817137104
"Feb 15, 2020",83.03,83.38,76.1,76.51,5612667760,4903772881
"Feb 14, 2020",80.38,83.46,79.43,82.99,5382846670,5318240171
"Feb 13, 2020",81.23,83.69,78.58,80.4,6579062946,5151873617
"Feb 12, 2020",76.49,82.27,76.45,81.3,5701884854,5208558724
"Feb 11, 2020",74.35,76.63,72.85,76.6,4742120918,4906933361
"Feb 10, 2020",77.14,77.56,73.12,74.34,5373709984,4761554712
"Feb 09, 2020",76.45,78.2,75.69,77.09,5145711108,4937660994
"Feb 08, 2020",74.4,77.42,72.14,76.47,5496860399,4897092475
"Feb 07, 2020",73.47,74.96,73.22,74.36,5051951258,4761261677
"Feb 06, 2020",72.53,74.66,71.11,73.39,5463272394,4698795737
"Feb 05, 2020",68.11,73.18,67.88,72.49,5169585841,4640906808
"Feb 04, 2020",69.77,70.33,66.9,68.2,4449652117,4365253454
"Feb 03, 2020",69.99,72.39,68.97,69.78,4965069690,4466102181
"Feb 02, 2020",70.8,73.25,68.13,70.23,5482993030,4494447999
"Feb 01, 2020",67.91,72.28,67.66,70.82,6009767449,4531596557
"Jan 31, 2020",68.18,69.38,65.79,67.88,5718104791,4342918713
"Jan 30, 2020",60.01,69.74,58.78,68.16,6042169957,4360322858
"Jan 29, 2020",60.66,62.25,59.78,60.08,3894445882,3842950242
"Jan 28, 2020",58.77,61.15,57.76,60.67,4220742210,3880511637
"Jan 27, 2020",56.28,59.58,56.08,58.76,3832184228,3758010753
"Jan 26, 2020",53.69,56.48,53.3,56.21,3283750798,3594505100
"Jan 25, 2020",54.56,54.56,52.77,53.7,2938756558,3433273431
"Jan 24, 2020",54.64,55.42,51.36,54.53,3532776556,3486182447
"Jan 23, 2020",58.35,58.48,53.39,54.63,3348002983,3492096602
"Jan 22, 2020",57.64,58.99,57.32,58.35,3076205980,3729779086
"Jan 21, 2020",57.23,57.96,56.27,57.65,3130143642,3684221719
"Jan 20, 2020",57.78,58.09,56.23,57.2,3306438947,3655443935
"Jan 19, 2020",59.45,61.79,56.18,57.8,4197776579,3693201722
"Jan 18, 2020",61.3,62.17,58.53,59.41,4426051530,3795493154
"Jan 17, 2020",57.64,62.89,56.9,61.49,5067456613,3927821846
"Jan 16, 2020",58.05,58.3,55.15,57.62,4347723835,3680300934
"Jan 15, 2020",58.39,59.92,56.17,58.05,5070738793,3707655223
"Jan 14, 2020",49.7,59.88,49.69,58.48,5729547956,3734400000
"Jan 13, 2020",51.12,51.39,48.93,49.73,3336204744,3175647876
"Jan 12, 2020",49.32,51.3,49.01,51.08,3858852964,3261300810
"Jan 11, 2020",48.63,51.33,48.09,49.26,3915781115,3144901794
"Jan 10, 2020",45.21,49.17,44.03,48.73,3808140302,3110300142
"Jan 09, 2020",45.62,45.78,44.31,45.22,2986327757,2885860528
"Jan 08, 2020",46.45,48.2,44.63,45.65,3633957130,2913485629
"Jan 07, 2020",45.84,46.86,44.72,46.42,3611521907,2962310517
"Jan 06, 2020",43.6,45.96,43.49,45.82,3349237768,2923126044
"Jan 05, 2020",43.29,44.73,43,43.55,3017148033,2778396525
"Jan 04, 2020",42.38,43.34,41.93,43.33,2843192897,2763617782
"Jan 03, 2020",39.86,42.45,39.45,42.42,3260961326,2705193552
"Jan 02, 2020",42.02,42.13,39.68,39.82,2759827139,2539554281
"Jan 01, 2020",41.33,42.29,41.29,42.02,2782992323,2679229284
"Dec 31, 2019",42.77,43.06,41.17,41.34,3015923778,2635704909
"Dec 30, 2019",43.75,44.6,42.43,42.75,3330795171,2725146760
"Dec 29, 2019",42.8,44.45,42.44,43.67,3573796558,2783708412
"Dec 28, 2019",41.17,43.81,41.13,42.84,3260638656,2730585594
"Dec 27, 2019",40.26,41.65,39.96,41.18,2949759036,2624203892
"Dec 26, 2019",40.61,41.37,39.81,40.27,2848923906,2565795345
"Dec 25, 2019",40.73,40.76,39.88,40.63,2773383486,2588660479
"Dec 24, 2019",40.86,41.68,40.22,40.68,2860933776,2591459879
"Dec 23, 2019",41.95,42.55,40.72,40.85,3163414128,2601950200
"Dec 22, 2019",40.01,42.25,39.95,41.97,3141032976,2672823095
"Dec 21, 2019",40.3,40.34,39.74,40,2655178488,2547148313
"Dec 20, 2019",39.94,40.59,39.67,40.29,2778859161,2565522972
"Dec 19, 2019",40.79,41.12,39.07,39.92,3173676635,2541689077
"Dec 18, 2019",37.12,41.1,36.67,40.78,3845534650,2596036805
"Dec 17, 2019",40.36,40.42,36.93,37.08,3283924746,2360532950
"Dec 16, 2019",43.78,43.87,40.05,40.37,3046141449,2569728492
"Dec 15, 2019",43.85,44.31,42.76,43.76,2668105124,2784724201
"Dec 14, 2019",44.45,44.66,43.52,43.72,2721787991,2791200748
"Dec 13, 2019",44.01,44.5,43.71,44.45,2766557274,2837399801
"Dec 12, 2019",43.92,44.28,43.5,44.08,2740797932,2813611017
"Dec 11, 2019",44.61,44.93,43.72,43.95,2507211954,2804621325
"Dec 10, 2019",45.01,45.1,44.11,44.64,2349745528,2848915169
"Dec 09, 2019",45.9,46.07,44.71,44.94,2473452708,2867412869
"Dec 08, 2019",45.68,46.51,45.45,45.95,2266427857,2931804622
"Dec 07, 2019",45.67,46.21,45.4,45.64,2380335463,2911520839
"Dec 06, 2019",45.29,45.7,44.75,45.67,2585078804,2913078062
"Dec 05, 2019",45.14,46.75,44.36,45.3,2818768679,2889242709
"Dec 04, 2019",45.4,46.54,44.58,45.19,2951880019,2882011362
"Dec 03, 2019",45.78,46.62,44.76,45.38,2557212174,2893726010
"Dec 02, 2019",47.65,47.81,45.32,45.82,2680452035,2921144389
"Dec 01, 2019",47.46,48.3,46.24,47.71,2781413686,3041545709
"Nov 30, 2019",48.91,49.28,47.09,47.48,2678481167,3026175357
"Nov 29, 2019",47.09,49.32,47.09,48.88,2944492393,3115330867
"Nov 28, 2019",48,48.55,47.02,47.06,2662459127,2998875250
"Nov 27, 2019",47.16,48.52,45.44,48.01,2979663352,3059223170
"Nov 26, 2019",45.81,47.54,45.66,47.27,2659405400,3012041642
"Nov 25, 2019",44.77,47.27,42.96,45.83,3408224795,2919784838
"Nov 24, 2019",48.71,48.78,44.73,44.73,2709705879,2849656912
"Nov 23, 2019",47.62,48.71,46.78,48.71,2746902870,3104760987
"Nov 22, 2019",50.88,51.39,44.89,47.62,3734545939,3034882008
"Nov 21, 2019",55.28,55.44,50.15,50.88,3158748317,3242806030
"Nov 20, 2019",55.63,56.66,55.09,55.29,2858714058,3523320531
"Nov 19, 2019",56.8,57.59,54.94,55.62,3030389859,3544160660
"Nov 18, 2019",59.57,60.08,55.86,56.8,3131873188,3618749968
"Nov 17, 2019",58.6,60.67,58.34,59.57,3215100478,3794900734
"Nov 16, 2019",57.79,59.18,57.47,58.57,2841793395,3730285758
"Nov 15, 2019",59.48,60.47,57.54,57.81,3195878562,3681894624
"Nov 14, 2019",61.08,61.22,59.42,59.43,3040274519,3784543703
"Nov 13, 2019",61.37,62.06,60.87,61.11,3094050321,3891188361
"Nov 12, 2019",61.93,62.47,60.69,61.34,3333604208,3905317178
"Nov 11, 2019",63.78,64.34,61.37,61.9,3033016472,3940458193
"Nov 10, 2019",61.9,64.6,61.81,63.84,3611586094,4063643936
"Nov 09, 2019",60.49,62.15,60.38,61.95,2849228741,3943126748
"Nov 08, 2019",61.88,62.45,59.51,60.53,3414910991,3852007191
"Nov 07, 2019",64.24,64.41,61.08,61.84,3557191963,3935124153
"Nov 06, 2019",63.35,64.27,62.96,64.27,3755244863,4088991803
"Nov 05, 2019",61.58,64,61.32,63.3,4725921529,4027051778
"Nov 04, 2019",58.6,62.18,58.38,61.57,4164854559,3916584191
"Nov 03, 2019",58.59,58.97,57.64,58.63,3259935586,3728676102
"Nov 02, 2019",58.58,59.33,58.22,58.6,3353942166,3726483415
"Nov 01, 2019",58.75,58.75,57.72,58.58,3425154368,3725245520
"Oct 31, 2019",58.36,60.08,57.69,58.78,3165801278,3737406895
"Oct 30, 2019",59.87,60.89,57.6,58.42,3387114095,3714109861
"Oct 29, 2019",58.05,60.66,58.05,59.87,3582210705,3805805251
"Oct 28, 2019",59.92,61.91,57.67,58.13,3793848576,3694652651
"Oct 27, 2019",56.8,61.87,55.92,59.91,4218140032,3807830063
"Oct 26, 2019",56.95,61.73,54.73,56.78,5234627157,3607985867
"Oct 25, 2019",50.11,57.32,49.61,56.94,3770902916,3618037380
"Oct 24, 2019",49.68,50.47,49.02,50.07,2650862714,3181078150
"Oct 23, 2019",53.75,53.82,48.5,49.63,3077488277,3152820838
"Oct 22, 2019",54.93,55.29,53.64,53.74,2490194232,3413955637
"Oct 21, 2019",54.92,55.56,54.02,54.94,2727253951,3489419289
"Oct 20, 2019",54.06,55.44,53.22,54.93,2612273453,3488800281
"Oct 19, 2019",53.47,54.46,53.07,54.03,2453091268,3431292105
"Oct 18, 2019",54.93,55.04,52.79,53.49,2683486531,3396445202
"Oct 17, 2019",52.9,55.13,52.35,54.88,2925315824,3484535289
"Oct 16, 2019",54.99,55.55,52.17,52.92,2978803244,3359652970
"Oct 15, 2019",57.01,57.37,54.71,54.94,2602960066,3487585899
"Oct 14, 2019",56.72,57.33,56.48,56.98,2243495397,3616122089
